NMDS1,NMDS2,species
0.9,0.4,Abies balsamea
1,0.2,Betula cordifolia
-0.2,-0.6,Carex bigelowii
-0.6,-0.6,Diapensia lapponica
-0.7,-0.1,Geum peckii
-0.6,-0.3,Kalmia procumbens
0.6,-0.1,Minuartia groenlandica
-0.7,0.4,Nabulus sp.
0.5,0.5,Rhododendron groenlandicum
-0.7,-0.1,Rhododendron lapponicum
-0.8,0,Salix uva-ursi
-0.1,0.1,Sibbaldiopsis tridentata
-0.5,0.1,Solidago leiocarpa
-0.4,0.4,Vaccinium boreale
0.3,0.9,Vaccinium uliginosum
0.2,0.5,Vaccinium vitis-idaea
