id,mountain,site,state,measure,Year,site_year,name,period,SWE,Tmax,Tmin,Tmean,TotalN,2D,3D,Arctic,Non-Arctic,Transitional,Non-Plant,Shrub
AlpGard-2-2017,AlpGard,T2,NH,line,2017,AlpGard-2017,Washington,2004-2024,748.41,4.130493151,-4.322410959,-0.095958904,3.67,0.526798887,0.47832508,0.240088653,0.09035752,0.252428914,0.36224888,0.469071066
AlpGard-3-2017,AlpGard,T3,NH,line,2017,AlpGard-2017,Washington,2004-2024,748.41,4.130493151,-4.322410959,-0.095958904,3.67,0.904991949,0.095008052,0.280193237,0.004830918,0.65378422,0.061191626,0.09178744
AlpGard-1-2024,AlpGard,T1,NH,line,2024,AlpGard-2024,Washington,2004-2024,598.17,4.545678,-4.032756,-0.012657,2.262,0.972259357,0.026737968,0.394385026,0.011029411,0.517713904,0.075868984,0.026737968
AlpGard-2-2024,AlpGard,T2,NH,line,2024,AlpGard-2024,Washington,2004-2024,598.17,4.545678,-4.032756,-0.012657,2.262,0.946858289,0.05381016,0.488302139,0.049131017,0.139705881,0.323529412,0.05381016
AlpGard-3-2024,AlpGard,T3,NH,line,2024,AlpGard-2024,Washington,2004-2024,598.17,4.545678,-4.032756,-0.012657,2.262,0.890040106,0.114304813,0.249665776,0.02105615,0.570187164,0.163435829,0.114304813
iroquois-T1-1984,iroquois,T1,NY,point,1984,iroquois-1984,Iroquois,1983-2003,353.54,7.764876712,-5.985287671,0.889794521,5.214,0.444559586,0.491537132,0.315025906,0.008981002,0.515716753,0.096373057,0.491537132
iroquois-T2-1984,iroquois,T2,NY,point,1984,iroquois-1984,Iroquois,1983-2003,334.15,8.337178082,-5.242986301,1.54709589,5.214,0.512479204,0.487520799,0.176372712,0.031613977,0.773710485,0.018302829,0.487520799
iroquois-T3-1984,iroquois,T3,NY,point,1984,iroquois-1984,Iroquois,1983-2003,334.15,8.337178082,-5.242986301,1.54709589,5.214,0.662110059,0.33788994,0.363126534,0.088678584,0.418506833,0.129688048,0.33788994
iroquois-T1-1994,iroquois,T1,NY,point,1994,iroquois-1994,Iroquois,1983-2003,433.56,8.844821918,-6.222027397,1.31139726,4.636,0.812127585,0.187171399,0.105853487,0.011566772,0.466526464,0.415352261,0.187171399
iroquois-T2-1994,iroquois,T2,NY,point,1994,iroquois-1994,Iroquois,1983-2003,418.34,9.19460274,-5.491315068,1.851643836,4.636,0.62776025,0.37784788,0.332632316,0.084121976,0.426218016,0.162635822,0.378548896
iroquois-T3-1994,iroquois,T3,NY,point,1994,iroquois-1994,Iroquois,1983-2003,418.34,9.19460274,-5.491315068,1.851643836,4.636,0.556607081,0.435681738,0.356116369,0.034349807,0.468629513,0.13319313,0.438135296
iroquois-T1-2002,iroquois,T1,NY,point,2002,iroquois-2002,Iroquois,1983-2003,369.54,8.156273973,-5.206821918,1.474726027,6.026,0.548895899,0.414300737,0.368033648,0.026288118,0.443743429,0.125131441,0.414300737
iroquois-T2-2002,iroquois,T2,NY,point,2002,iroquois-2002,Iroquois,1983-2003,314.91,8.513369863,-4.437643836,2.037863014,6.026,0.667814112,0.332185886,0.277108433,0.146299482,0.550774527,0.025817556,0.323580035
iroquois-T3-2002,iroquois,T3,NY,point,2002,iroquois-2002,Iroquois,1983-2003,314.91,8.513369863,-4.437643836,2.037863014,6.026,0.398333333,0.601666667,0.090000001,0.138333333,0.663333333,0.108333333,0.373333333
iroquois-T1-2007,iroquois,T1,NY,point,2007,iroquois-2007,Iroquois,2004-2024,523.38,9.828164384,-5.719835616,2.054164384,4.856,0.89258397,0.10741603,0.317259727,0.142001995,0.465912871,0.177585633,0.10741603
iroquois-T2-2007,iroquois,T2,NY,point,2007,iroquois-2007,Iroquois,2004-2024,466.6,9.992356164,-5.033917808,2.479219178,4.856,0.926172264,0.079813768,0.440971067,0.044895244,0.172264716,0.250748254,0.079813768
iroquois-T3-2007,iroquois,T3,NY,point,2007,iroquois-2007,Iroquois,2004-2024,466.6,9.992356164,-5.033917808,2.479219178,4.856,0.838709677,0.174592618,0.247422681,0.042234786,0.476222149,0.244762221,0.174592618
iroquois-T1-2017,iroquois,T1,NY,point,2017,iroquois-2017,Iroquois,2004-2024,379.65,6.639123288,-6.858493151,-0.109684932,4.339,0.747921518,0.169936814,0.17426006,0.024609245,0.426338544,0.275024942,0.169936814
iroquois-T2-2017,iroquois,T2,NY,point,2017,iroquois-2017,Iroquois,2004-2024,310.22,7.290684932,-5.951561644,0.669561644,4.339,0.68772863,0.254406385,0.213169271,0.003220612,0.542068505,0.162287994,0.254406385
